,HARPNUM,file_name,label
2371,401,hmi.sharp_cea_720s.401.20110307_120000_TAI,1
14004,3119,hmi.sharp_cea_720s.3119.20130825_230000_TAI,0
11067,2673,hmi.sharp_cea_720s.2673.20130422_020000_TAI,1
30133,8619,hmi.sharp_cea_720s.8619.20220920_180000_TAI,0
10526,2635,hmi.sharp_cea_720s.2635.20130411_010000_TAI,1
10651,2636,hmi.sharp_cea_720s.2636.20130407_040000_TAI,1
16035,4288,hmi.sharp_cea_720s.4288.20140701_170000_TAI,1
435,92,hmi.sharp_cea_720s.92.20100726_090000_TAI,1
11970,2750,hmi.sharp_cea_720s.2750.20130519_080000_TAI,1
22187,6155,hmi.sharp_cea_720s.6155.20151212_080000_TAI,0
27673,7552,hmi.sharp_cea_720s.7552.20210310_150000_TAI,0
1651,344,hmi.sharp_cea_720s.344.20110113_000000_TAI,0
21261,5983,hmi.sharp_cea_720s.5983.20150930_110000_TAI,1
12720,2902,hmi.sharp_cea_720s.2902.20130627_000000_TAI,0
7073,1113,hmi.sharp_cea_720s.1113.20111126_190000_TAI,1
23486,6869,hmi.sharp_cea_720s.6869.20161204_080000_TAI,0
10947,2663,hmi.sharp_cea_720s.2663.20130417_000000_TAI,0
3098,527,hmi.sharp_cea_720s.527.20110423_000000_TAI,0
962,211,hmi.sharp_cea_720s.211.20101017_110000_TAI,1
26600,7372,hmi.sharp_cea_720s.7372.20190626_000000_TAI,0
20332,5885,hmi.sharp_cea_720s.5885.20150820_100000_TAI,1
27847,7570,hmi.sharp_cea_720s.7570.20210424_020000_TAI,1
28252,7599,hmi.sharp_cea_720s.7599.20210531_230000_TAI,1
10529,2635,hmi.sharp_cea_720s.2635.20130411_040000_TAI,1
16443,4375,hmi.sharp_cea_720s.4375.20140718_190000_TAI,0
27925,7573,hmi.sharp_cea_720s.7573.20210425_080000_TAI,0
27681,7554,hmi.sharp_cea_720s.7554.20210309_220000_TAI,0
14017,3119,hmi.sharp_cea_720s.3119.20130831_210000_TAI,1
5867,892,hmi.sharp_cea_720s.892.20110930_080000_TAI,1
10750,2636,hmi.sharp_cea_720s.2636.20130412_040000_TAI,1
11206,2691,hmi.sharp_cea_720s.2691.20130430_080000_TAI,1
7020,1092,hmi.sharp_cea_720s.1092.20111126_100000_TAI,1
30043,8602,hmi.sharp_cea_720s.8602.20220919_020000_TAI,1
20268,5880,hmi.sharp_cea_720s.5880.20150813_230000_TAI,1
27608,7546,hmi.sharp_cea_720s.7546.20210222_050000_TAI,0
5970,900,hmi.sharp_cea_720s.900.20110924_040000_TAI,0
26451,7350,hmi.sharp_cea_720s.7350.20190321_090000_TAI,1
140,43,hmi.sharp_cea_720s.43.20100606_000000_TAI,0
12686,2887,hmi.sharp_cea_720s.2887.20130703_110000_TAI,0
19048,5673,hmi.sharp_cea_720s.5673.20150621_120000_TAI,1
26354,7341,hmi.sharp_cea_720s.7341.20190224_000000_TAI,0
18472,5586,hmi.sharp_cea_720s.5586.20150519_060000_TAI,1
14612,4043,hmi.sharp_cea_720s.4043.20140424_000000_TAI,0
