model,parameters,training_time,accuracy,precision,recall,f1,tss,tn,fp,fn,tp
RF,rs=2|n_est=50|depth=5,3.319147,0.8481810832659661,0.8093987157034442,0.9065053939195815,0.8552043176561295,0.6976122397289225,2473,653,286,2773
RF,rs=2|n_est=50|depth=10,5.808689,0.862085691188359,0.827688651218063,0.9107551487414187,0.8672373540856031,0.7252145217420585,2546,580,273,2786
RF,rs=2|n_est=50|depth=20,7.979212,0.8670978172999192,0.842363024181206,0.8996404053612291,0.8700600695542207,0.7348931244911076,2611,515,307,2752
RF,rs=2|n_est=50|depth=None,7.216112,0.8641875505254648,0.844031007751938,0.8898332788492972,0.8663271801400382,0.7289247695722658,2623,503,337,2722
RF,rs=2|n_est=100|depth=5,6.439926,0.8493128536782538,0.8108740134463607,0.906832298136646,0.8561728395061728,0.6998585297425322,2479,647,285,2774
RF,rs=2|n_est=100|depth=10,11.348541,0.8603071948261924,0.8246081041112097,0.9114089571755476,0.8658385093167702,0.7217096609503397,2533,593,271,2788
RF,rs=2|n_est=100|depth=20,14.160822,0.8661277283751011,0.8406106870229008,0.8999673095782935,0.8692769182191348,0.7329807452788694,2604,522,306,2753
RF,rs=2|n_est=100|depth=None,15.044726,0.8669361358124494,0.8450617283950618,0.8950637463223275,0.8693443403714876,0.7344751346780537,2624,502,321,2738
RF,rs=2|n_est=1000|depth=5,55.143198,0.8483427647534357,0.8098159509202454,0.9061784897025171,0.8552915766738661,0.6979251307773732,2475,651,287,2772
RF,rs=2|n_est=1000|depth=10,93.051417,0.8596604688763136,0.8236336779911374,0.9114089571755476,0.8653010552451893,0.7204300704193096,2529,597,271,2788
RF,rs=2|n_est=1000|depth=20,122.630075,0.8693613581244948,0.8432448917352852,0.9038901601830663,0.8725149889555065,0.7394627769457023,2612,514,294,2765
RF,rs=2|n_est=1000|depth=None,126.776531,0.8675828617623282,0.8431372549019608,0.8996404053612291,0.8704728767989878,0.7358528173893801,2614,512,307,2752
RF,rs=4|n_est=50|depth=5,3.375556,0.8501212611156023,0.8104251601630751,0.9097744360902256,0.8572308640073926,0.7015210771650816,2475,651,276,2783
RF,rs=4|n_est=50|depth=10,5.991644,0.8604688763136621,0.8242764323685765,0.9123896698267407,0.8660977501939487,0.7220505783360178,2531,595,268,2791
RF,rs=4|n_est=50|depth=20,8.382038,0.8619240097008892,0.8376722817764165,0.8940830336711344,0.8649588867805187,0.7245372883096501,2596,530,324,2735
RF,rs=4|n_est=50|depth=None,7.730562,0.8622473726758286,0.8419584753641153,0.8881987577639752,0.8644607063315304,0.7250509650576412,2616,510,342,2717
RF,rs=4|n_est=100|depth=5,6.491671,0.8489894907033144,0.8102189781021898,0.9071592023537104,0.8559531153608884,0.699225741061324,2476,650,284,2775
RF,rs=4|n_est=100|depth=10,10.946523,0.859983831851253,0.8241206030150754,0.9114089571755476,0.8655696988512884,0.7210698656848247,2531,595,271,2788
RF,rs=4|n_est=100|depth=20,13.659822,0.8666127728375101,0.8417992656058751,0.8993135011441648,0.869606448553817,0.7339264250085281,2609,517,308,2751
RF,rs=4|n_est=100|depth=None,13.595013,0.8653193209377527,0.8424615384615385,0.8950637463223275,0.8679663972103344,0.7312761583504785,2614,512,321,2738
RF,rs=4|n_est=1000|depth=5,56.074887,0.8486661277283751,0.8097461336445871,0.9071592023537104,0.8556891766882516,0.6985859457958089,2474,652,284,2775
RF,rs=4|n_est=1000|depth=10,79.013959,0.8604688763136621,0.824468085106383,0.9120627656096764,0.8660561850069843,0.7220435717517109,2532,594,269,2790
RF,rs=4|n_est=1000|depth=20,104.646893,0.8695230396119644,0.842665855143031,0.905197777051324,0.8728132387706856,0.7398107009156873,2609,517,290,2769
RF,rs=4|n_est=1000|depth=None,127.440172,0.8680679062247373,0.8430712756194555,0.9009480222294868,0.8710493046776233,0.7368405366248802,2613,513,303,2756
RF,rs=8|n_est=50|depth=5,3.243836,0.8510913500404204,0.8123904149620105,0.9087937234390323,0.8578923005708996,0.703419443208706,2484,642,279,2780
RF,rs=8|n_est=50|depth=10,5.730462,0.8616006467259498,0.8265638897124222,0.9114089571755476,0.8669154228855721,0.7242688420123998,2541,585,271,2788
RF,rs=8|n_est=50|depth=20,6.751031,0.8641875505254648,0.8383653552912473,0.898659692710036,0.8674660776270117,0.7291139473485517,2596,530,310,2749
RF,rs=8|n_est=50|depth=None,8.433086,0.8653193209377527,0.8443688118811881,0.892121608368748,0.86758861866158,0.7312130990917166,2623,503,330,2729
RF,rs=8|n_est=100|depth=5,5.471929,0.8501212611156023,0.8107871720116618,0.9091206276560968,0.8571428571428571,0.7015070639964679,2477,649,278,2781
RF,rs=8|n_est=100|depth=10,9.583569,0.8619240097008892,0.826473201066035,0.9123896698267407,0.8673088875077688,0.7249296570308355,2540,586,268,2791
RF,rs=8|n_est=100|depth=20,14.837252,0.8646725949878739,0.8383069427527405,0.8999673095782935,0.8680435125335015,0.7301016665840516,2595,531,306,2753
RF,rs=8|n_est=100|depth=None,14.72525,0.865642683912692,0.8427692307692307,0.8953906505393919,0.8682834046600095,0.7319229602003005,2615,511,320,2739
RF,rs=8|n_est=1000|depth=5,44.662108,0.8481810832659661,0.809760374050263,0.9058515854854527,0.8551149513963895,0.6975982265603088,2475,651,288,2771
RF,rs=8|n_est=1000|depth=10,93.102017,0.8601455133387227,0.8239810986414648,0.9120627656096764,0.8657874321179209,0.7214037764861959,2530,596,269,2790
RF,rs=8|n_est=1000|depth=20,105.238935,0.8675828617623282,0.8414634146341463,0.9022556390977443,0.8707998106956933,0.7359088700638352,2606,520,299,2760
RF,rs=8|n_est=1000|depth=None,119.762138,0.8677445432497979,0.8425557933353715,0.9009480222294868,0.8707740916271722,0.7362007413593652,2611,515,303,2756
RF,rs=16|n_est=50|depth=5,3.264062,0.8481810832659661,0.8095794392523364,0.9061784897025171,0.8551596483109671,0.6976052331446156,2474,652,287,2772
RF,rs=16|n_est=50|depth=10,5.710009,0.8596604688763136,0.8232516966656831,0.9120627656096764,0.8653846153846154,0.7204440835879233,2527,599,269,2790
RF,rs=16|n_est=50|depth=20,7.665633,0.8646725949878739,0.8401714635639926,0.897025171624714,0.8676679841897234,0.7300386073252898,2604,522,315,2744
RF,rs=16|n_est=50|depth=None,7.23024,0.8667744543249798,0.8439519852262235,0.8963713631905852,0.8693722257450857,0.7341832633825238,2619,507,317,2742
RF,rs=16|n_est=100|depth=5,5.812404,0.847696038803557,0.809051094890511,0.9058515854854527,0.8547193090684763,0.6966385336620362,2472,654,288,2771
RF,rs=16|n_est=100|depth=10,10.27845,0.8598221503637834,0.8233038348082596,0.9123896698267407,0.8655605520235695,0.7207709878049877,2527,599,268,2791
RF,rs=16|n_est=100|depth=20,13.849409,0.8651576394502829,0.8417818740399385,0.8957175547564563,0.8679125752296484,0.7309702738863347,2611,515,319,2740
RF,rs=16|n_est=100|depth=None,14.172943,0.8670978172999192,0.8429929469487887,0.898659692710036,0.8699367088607595,0.734872104738187,2614,512,310,2749
RF,rs=16|n_est=1000|depth=5,57.017603,0.8483427647534357,0.8098159509202454,0.9061784897025171,0.8552915766738661,0.6979251307773732,2475,651,287,2772
RF,rs=16|n_est=1000|depth=10,90.322477,0.8598221503637834,0.8240685984624483,0.9110820529584832,0.8653935724266418,0.7207429614677603,2531,595,272,2787
RF,rs=16|n_est=1000|depth=20,122.733347,0.8685529506871463,0.8417528910529519,0.9042170644001307,0.8718676122931442,0.7378702953662215,2606,520,293,2766
RF,rs=16|n_est=1000|depth=None,124.021205,0.8680679062247373,0.8426520012221204,0.9016018306636155,0.8711307643714467,0.736854549793494,2611,515,301,2758
RF,rs=32|n_est=50|depth=5,3.424594,0.8496362166531932,0.8106215348701488,0.9081399150049035,0.8566142460684552,0.7005263513452746,2477,649,281,2778
RF,rs=32|n_est=50|depth=10,5.61596,0.8612772837510105,0.825880959431448,0.911735861392612,0.8666873834679926,0.7236360533311916,2538,588,270,2789
RF,rs=32|n_est=50|depth=20,8.547891,0.8680679062247373,0.8409851018546671,0.9042170644001307,0.8714555765595463,0.736910602467949,2603,523,293,2766
RF,rs=32|n_est=50|depth=None,7.251648,0.8672594987873888,0.845797280593325,0.8947368421052632,0.8695790309769659,0.7351079233592619,2627,499,322,2737
RF,rs=32|n_est=100|depth=5,5.448955,0.8486661277283751,0.8104708979233695,0.9058515854854527,0.8555109601728929,0.6985579194585814,2478,648,288,2771
RF,rs=32|n_est=100|depth=10,10.396837,0.8607922392886015,0.8251479289940828,0.911735861392612,0.8662835844075167,0.722676360432919,2535,591,270,2789
RF,rs=32|n_est=100|depth=20,12.696375,0.8675828617623282,0.841047503045067,0.9029094475318732,0.8708812864575122,0.735922883232449,2604,522,297,2762
RF,rs=32|n_est=100|depth=None,15.345251,0.8670978172999192,0.8440479852353122,0.897025171624714,0.8697305863708399,0.7348370718166526,2619,507,315,2744
RF,rs=32|n_est=1000|depth=5,52.438499,0.8478577202910267,0.809106830122592,0.9061784897025171,0.8548959136468774,0.6969654378791006,2472,654,287,2772
RF,rs=32|n_est=1000|depth=10,89.174807,0.859983831851253,0.8241206030150754,0.9114089571755476,0.8655696988512884,0.7210698656848247,2531,595,271,2788
RF,rs=32|n_est=1000|depth=20,120.904318,0.8680679062247373,0.842442748091603,0.9019287348806799,0.8711714556362489,0.7368615563778008,2610,516,300,2759
RF,rs=32|n_est=1000|depth=None,123.618042,0.8680679062247373,0.8432812978267523,0.9006211180124224,0.8710085361998103,0.7368335300405734,2614,512,304,2755
FCNN,rs=2|alpha=0|dropout=0.1,10.999799,0.8518997574777688,0.8184249628528975,0.900294213795358,0.8574097135740971,0.7048367601805148,2515,611,305,2754
FCNN,rs=2|alpha=0|dropout=0.3,12.194728,0.8541632983023444,0.825732407127756,0.8937561294540699,0.8583987441130299,0.7091751953529822,2549,577,325,2734
FCNN,rs=2|alpha=0|dropout=0.5,11.588899,0.8525464834276475,0.8203521336914354,0.898659692710036,0.8577223088923557,0.7060813177900104,2524,602,310,2749
FCNN,rs=2|alpha=0|dropout=0.7,19.149122,0.8485044462409054,0.8089691322073383,0.9081399150049035,0.8556907438780225,0.6982870679159721,2470,656,281,2778
FCNN,rs=2|alpha=0.01|dropout=0.1,7.48489,0.8531932093775263,0.8283969465648855,0.8868911408957175,0.8566466687717083,0.7071086712859926,2564,562,346,2713
FCNN,rs=2|alpha=0.01|dropout=0.3,11.219037,0.8536782538399353,0.8263636363636364,0.8914677999346191,0.8576820254757037,0.7081664563645615,2553,573,332,2727
FCNN,rs=2|alpha=0.01|dropout=0.5,11.064747,0.8510913500404204,0.817965496728138,0.8989865969271004,0.8565643980688367,0.7032092456794996,2514,612,309,2750
FCNN,rs=2|alpha=0.01|dropout=0.7,18.760215,0.8475343573160873,0.8064889918887601,0.91010134030729,0.855168176931347,0.6964097216252683,2458,668,275,2784
FCNN,rs=2|alpha=0.1|dropout=0.1,11.618457,0.8520614389652384,0.822503008423586,0.8937561294540699,0.8566504778317405,0.7050165261271345,2536,590,325,2734
FCNN,rs=2|alpha=0.1|dropout=0.3,10.61526,0.8530315278900565,0.8261529126213593,0.8901601830663616,0.8569630212431156,0.706858839496304,2553,573,336,2723
FCNN,rs=2|alpha=0.1|dropout=0.5,19.368126,0.8514147130153598,0.8175074183976261,0.9006211180124224,0.8570539741794991,0.703884073866549,2511,615,304,2755
FCNN,rs=2|alpha=0.1|dropout=0.7,15.279666,0.8506063055780113,0.8077255693283367,0.9159856162144492,0.8584558823529411,0.7026138951651849,2459,667,257,2802
FCNN,rs=4|alpha=0|dropout=0.1,9.54035,0.8556184316895715,0.8209839952578541,0.9055246812683884,0.8611845173325042,0.7123065110828477,2522,604,289,2770
FCNN,rs=4|alpha=0|dropout=0.3,19.367937,0.8573969280517381,0.8232848232848233,0.9061784897025171,0.8627450980392157,0.7158393982117941,2531,595,287,2772
FCNN,rs=4|alpha=0|dropout=0.5,13.983501,0.8530315278900565,0.81785925487877,0.9042170644001307,0.8588728458313927,0.7071601226214999,2510,616,293,2766
FCNN,rs=4|alpha=0|dropout=0.7,20.768901,0.8485044462409054,0.810233918128655,0.9058515854854527,0.8553789164994597,0.6982380218258238,2477,649,288,2771
FCNN,rs=4|alpha=0.01|dropout=0.1,12.323527,0.8557801131770413,0.8195222648186375,0.9084668192219679,0.8617054263565892,0.7126894679743672,2514,612,280,2779
FCNN,rs=4|alpha=0.01|dropout=0.3,19.694608,0.8572352465642684,0.8236168947055325,0.905197777051324,0.862482479364585,0.715498480826116,2533,593,290,2769
FCNN,rs=4|alpha=0.01|dropout=0.5,12.140208,0.8531932093775263,0.8186666666666667,0.9032363517489376,0.8588747280074603,0.7074590005013368,2514,612,296,2763
FCNN,rs=4|alpha=0.01|dropout=0.7,18.024782,0.8478577202910267,0.8050115207373272,0.9136972866949984,0.8559179298729138,0.697126589318159,2449,677,264,2795
FCNN,rs=4|alpha=0.1|dropout=0.1,13.372147,0.8546483427647534,0.8218116805721096,0.9016018306636155,0.8598597038191738,0.71030304627462,2528,598,301,2758
FCNN,rs=4|alpha=0.1|dropout=0.3,15.245438,0.853839935327405,0.822701407607068,0.8980058842759071,0.8587058455767427,0.7086264856834567,2534,592,312,2747
FCNN,rs=4|alpha=0.1|dropout=0.5,10.933224,0.8520614389652384,0.8152941176470588,0.9061784897025171,0.8583372039015328,0.7052827763307961,2498,628,287,2772
FCNN,rs=4|alpha=0.1|dropout=0.7,20.192598,0.85125303152789,0.8104499274310595,0.9127165740438051,0.8585485854858549,0.7038234198531461,2473,653,267,2792
FCNN,rs=8|alpha=0|dropout=0.1,8.616729,0.8561034761519806,0.8217146247404331,0.9055246812683884,0.8615863141524106,0.7132662039811203,2525,601,289,2770
FCNN,rs=8|alpha=0|dropout=0.3,13.361392,0.8562651576394503,0.821767497034401,0.9058515854854527,0.861763333851656,0.7135931081981847,2525,601,288,2771
FCNN,rs=8|alpha=0|dropout=0.5,13.821954,0.8546483427647534,0.8185840707964602,0.9071592023537104,0.8605985424096759,0.710422158207837,2511,615,284,2775
FCNN,rs=8|alpha=0|dropout=0.7,14.503888,0.8509296685529507,0.8164050932780574,0.9012749264465512,0.8567433188315724,0.7029383941368903,2506,620,302,2757
FCNN,rs=8|alpha=0.01|dropout=0.1,7.7313,0.8570735650767987,0.8222222222222222,0.9071592023537104,0.8626049114081442,0.7152206226991998,2526,600,284,2775
FCNN,rs=8|alpha=0.01|dropout=0.3,15.838104,0.8561034761519806,0.8215238659946635,0.9058515854854527,0.8616293532338308,0.7132732105654271,2524,602,288,2771
FCNN,rs=8|alpha=0.01|dropout=0.5,16.225023,0.8530315278900565,0.8186129223473622,0.9029094475318732,0.858697341831183,0.7071320962842724,2514,612,297,2762
FCNN,rs=8|alpha=0.01|dropout=0.7,18.172335,0.8514147130153598,0.8158205430932703,0.903563255966002,0.8574530789514503,0.703947133125311,2502,624,295,2764
FCNN,rs=8|alpha=0.1|dropout=0.1,15.675777,0.856911883589329,0.8246714456391876,0.9025825433148088,0.8618698298735757,0.714802632886146,2539,587,298,2761
