model,parameters,training_time,accuracy,precision,recall,f1,tss,tn,fp,fn,tp
RF,rs=2|n_est=50|depth=5,1.202127,0.8213129231675007,0.8294736842105264,0.9513078470824949,0.8862230552952203,0.41841311024038963,426,486,121,2364
RF,rs=2|n_est=50|depth=10,2.351196,0.8233735649102149,0.8348134991119005,0.9456740442655935,0.8867924528301887,0.435805623212962,447,465,135,2350
RF,rs=2|n_est=50|depth=20,4.24577,0.8210185457756844,0.8372260150916278,0.937625754527163,0.8845861807137434,0.4409152282113735,459,453,155,2330
RF,rs=2|n_est=50|depth=None,3.984923,0.8242566970856638,0.8410404624277457,0.93682092555332,0.8863506567675614,0.4543647852024428,472,440,157,2328
RF,rs=2|n_est=100|depth=5,2.872229,0.8204297909920518,0.8279118572927597,0.9525150905432596,0.8858532934131736,0.41304140633273323,420,492,118,2367
RF,rs=2|n_est=100|depth=10,5.463904,0.8248454518692965,0.8348688873139617,0.9480885311871228,0.8878839268890145,0.43712361890642104,446,466,129,2356
RF,rs=2|n_est=100|depth=20,7.584531,0.8171916396820724,0.8340501792114695,0.9364185110663984,0.8822748815165877,0.42874307246990717,449,463,158,2327
RF,rs=2|n_est=100|depth=None,7.864519,0.8236679423020312,0.8394528437724982,0.938430583501006,0.8861865855975679,0.4493954957817078,466,446,153,2332
RF,rs=2|n_est=1000|depth=5,27.463692,0.8201354136002355,0.8285413744740533,0.9509054325955735,0.88551620760727,0.41472122206925766,423,489,122,2363
RF,rs=2|n_est=1000|depth=10,45.739204,0.8236679423020312,0.8341601700921333,0.9472837022132797,0.8871302053891087,0.4341258074764376,444,468,131,2354
RF,rs=2|n_est=1000|depth=20,67.67578,0.8230791875183986,0.8371510379384395,0.9412474849094568,0.8861526804319,0.4423439761375269,457,455,146,2339
RF,rs=2|n_est=1000|depth=None,64.7523,0.8219016779511333,0.8369175627240143,0.9396378269617707,0.885308056872038,0.4407343181898408,457,455,150,2335
RF,rs=4|n_est=50|depth=5,1.806582,0.8204297909920518,0.829062829062829,0.9505030181086519,0.885639295088114,0.4165117900384765,425,487,123,2362
RF,rs=4|n_est=50|depth=10,3.445499,0.8236679423020312,0.8341601700921333,0.9472837022132797,0.8871302053891087,0.4341258074764376,444,468,131,2354
RF,rs=4|n_est=50|depth=20,4.638228,0.816897262290256,0.8359177785791562,0.9327967806841047,0.8817040699885889,0.4338932719121748,457,455,167,2318
RF,rs=4|n_est=50|depth=None,4.630323,0.8204297909920518,0.8400435255712732,0.9319919517102616,0.8836322014498283,0.44843932013131427,471,441,169,2316
RF,rs=4|n_est=100|depth=5,3.654521,0.8207241683838681,0.8291228070175438,0.9509054325955735,0.8858481724461106,0.41691420452539807,425,487,122,2363
RF,rs=4|n_est=100|depth=10,5.97853,0.8239623196938475,0.8339823008849557,0.9480885311871228,0.8873822975517891,0.43383414522221053,443,469,129,2356
RF,rs=4|n_est=100|depth=20,7.82571,0.8204297909920518,0.8354203935599285,0.9396378269617707,0.884469696969697,0.43525186204948996,452,460,150,2335
RF,rs=4|n_est=100|depth=None,7.627691,0.8201354136002355,0.8385115606936416,0.9340040241448692,0.8836855130401675,0.44387244519750074,465,447,164,2321
RF,rs=4|n_est=1000|depth=5,28.340621,0.8216073005593171,0.8295334970185899,0.9517102615694165,0.886431784107946,0.4188155247273112,426,486,120,2365
RF,rs=4|n_est=1000|depth=10,47.17036,0.8245510744774801,0.8343362831858407,0.9484909456740442,0.887758945386064,0.4353330509372021,444,468,128,2357
RF,rs=4|n_est=1000|depth=20,62.393024,0.8245510744774801,0.8374419435512683,0.9432595573440644,0.8872066616199848,0.44435604857213457,457,455,141,2344
RF,rs=4|n_est=1000|depth=None,63.000177,0.8221960553429497,0.8364937388193202,0.9408450704225352,0.8856060606060606,0.439748579194465,455,457,147,2338
RF,rs=8|n_est=50|depth=5,1.72791,0.8207241683838681,0.8282015395381386,0.9525150905432596,0.8860190903986525,0.41413789756080344,421,491,118,2367
RF,rs=8|n_est=50|depth=10,3.264011,0.8210185457756844,0.832447750619908,0.9456740442655935,0.8854559155990958,0.4270336933884006,439,473,135,2350
RF,rs=8|n_est=50|depth=20,4.974442,0.8183691492493377,0.8376717281272595,0.9323943661971831,0.8824985717006284,0.4400698047936743,463,449,168,2317
RF,rs=8|n_est=50|depth=None,4.059926,0.817780394465705,0.8387799564270153,0.9295774647887324,0.881847680855125,0.44273535952557447,468,444,175,2310
RF,rs=8|n_est=100|depth=5,3.507561,0.8210185457756844,0.8284914245712286,0.9525150905432596,0.8861849494571321,0.41523438878887364,422,490,118,2367
RF,rs=8|n_est=100|depth=10,5.742631,0.8230791875183986,0.8340425531914893,0.9464788732394366,0.8867106503298775,0.43332097850259443,444,468,133,2352
RF,rs=8|n_est=100|depth=20,7.422818,0.8210185457756844,0.8372260150916278,0.937625754527163,0.8845861807137434,0.4409152282113735,459,453,155,2330
RF,rs=8|n_est=100|depth=None,7.853518,0.8201354136002355,0.8368080517613228,0.93682092555332,0.8839946838807671,0.43901390800946033,458,454,157,2328
RF,rs=8|n_est=1000|depth=5,25.103695,0.8213129231675007,0.8294736842105264,0.9513078470824949,0.8862230552952203,0.41841311024038963,426,486,121,2364
RF,rs=8|n_est=1000|depth=10,48.761822,0.8216073005593171,0.8325663716814159,0.9464788732394366,0.8858757062146893,0.4278385223622436,439,473,133,2352
RF,rs=8|n_est=1000|depth=20,65.010966,0.8233735649102149,0.8367274026438014,0.9424547283702214,0.886449659348978,0.44135823714215117,455,457,143,2342
RF,rs=8|n_est=1000|depth=None,65.126128,0.8198410362084192,0.8353025420694593,0.9388329979879275,0.8840469874952633,0.4344470330756468,452,460,152,2333
RF,rs=16|n_est=50|depth=5,1.845484,0.8201354136002355,0.8276223776223777,0.9525150905432596,0.8856875584658559,0.411944915104663,419,493,118,2367
