model,parameters,training_time,accuracy,precision,recall,f1,tss,tn,fp,fn,tp
RF,rs=2|n_est=50|depth=5,1.180722,0.8507506623491315,0.8467741935483871,0.971830985915493,0.9050028105677347,0.4926643192488263,475,437,70,2415
RF,rs=2|n_est=50|depth=10,2.281817,0.8672357962908449,0.8634739099356683,0.9722334004024145,0.9146318379708499,0.5533737512796074,530,382,69,2416
RF,rs=2|n_est=50|depth=20,3.475055,0.8663526641153959,0.8782122905027933,0.9488933601609658,0.9121856866537718,0.5903407285820185,585,327,127,2358
RF,rs=2|n_est=50|depth=None,4.179585,0.8648807771563144,0.8796851574212894,0.9444668008048289,0.9109256743644479,0.5924931165943026,591,321,138,2347
RF,rs=2|n_est=100|depth=5,2.91663,0.8510450397409479,0.8463423171158558,0.9730382293762575,0.9052789217521527,0.49167858025345046,473,439,67,2418
RF,rs=2|n_est=100|depth=10,6.255515,0.8666470415072123,0.8628571428571429,0.9722334004024145,0.9142857142857143,0.5511807688234671,528,384,69,2416
RF,rs=2|n_est=100|depth=20,7.704801,0.8675301736826612,0.8778314147790568,0.9513078470824949,0.9130938586326767,0.5905622330474072,583,329,121,2364
RF,rs=2|n_est=100|depth=None,7.610104,0.86841330585811,0.8805078416728902,0.9488933601609658,0.9134224288204532,0.5980161671785097,592,320,127,2358
RF,rs=2|n_est=1000|depth=5,27.406355,0.8510450397409479,0.8463423171158558,0.9730382293762575,0.9052789217521527,0.49167858025345046,473,439,67,2418
RF,rs=2|n_est=1000|depth=10,44.688834,0.8675301736826612,0.8627450980392157,0.9738430583501007,0.9149338374291115,0.5516939355430831,527,385,65,2420
RF,rs=2|n_est=1000|depth=20,61.513501,0.8710627023844568,0.8772576483597494,0.9577464788732394,0.9157368218545594,0.5926148999258709,579,333,105,2380
RF,rs=2|n_est=1000|depth=None,62.266119,0.8713570797762732,0.8792592592592593,0.9553319919517103,0.915718418514947,0.5978758516008331,586,326,111,2374
RF,rs=4|n_est=50|depth=5,1.757803,0.8486900206064174,0.844700944386149,0.971830985915493,0.9038173652694611,0.4849888806523351,468,444,70,2415
RF,rs=4|n_est=50|depth=10,3.153039,0.8672357962908449,0.8603827072997874,0.9770623742454728,0.9150179008856227,0.5450448303858237,518,394,57,2428
RF,rs=4|n_est=50|depth=20,4.522989,0.8637032675890491,0.8758364312267658,0.9480885311871228,0.9105314009661836,0.5818604610116842,578,334,129,2356
RF,rs=4|n_est=50|depth=None,4.291148,0.8678245510744775,0.881559220389805,0.9464788732394366,0.9128662914806909,0.5999876451692612,596,316,133,2352
RF,rs=4|n_est=100|depth=5,3.027632,0.8504562849573153,0.8459922996149808,0.972635814889336,0.9049045301385249,0.49017967453845884,472,440,68,2417
RF,rs=4|n_est=100|depth=10,6.346789,0.8669414188990285,0.8616150836001423,0.9746478873239437,0.9146525679758308,0.5481127996046454,523,389,63,2422
RF,rs=4|n_est=100|depth=20,7.820406,0.8672357962908449,0.8763878608438194,0.9529175050301811,0.9130518604202815,0.5866894348547426,578,334,117,2368
RF,rs=4|n_est=100|depth=None,8.048584,0.8695908154253753,0.8792719167904903,0.9525150905432596,0.9144292061039212,0.5961554414204525,587,325,118,2367
RF,rs=4|n_est=1000|depth=5,27.291089,0.8501619075654989,0.8454545454545455,0.9730382293762575,0.9047708138447147,0.48838910656923995,470,442,67,2418
RF,rs=4|n_est=1000|depth=10,45.320154,0.8660582867235797,0.8619828815977175,0.972635814889336,0.9139723955379089,0.5482937096261782,525,387,68,2417
RF,rs=4|n_est=1000|depth=20,62.029177,0.8710627023844568,0.8783733826247689,0.9561368209255533,0.915606936416185,0.5953912068904657,583,329,109,2376
RF,rs=4|n_est=1000|depth=None,61.382184,0.8701795702090079,0.879080118694362,0.9537223340040242,0.9148812970469021,0.596266193653147,586,326,115,2370
RF,rs=8|n_est=50|depth=5,1.782195,0.8495731527818664,0.8455882352941176,0.971830985915493,0.9043250327653998,0.48827835433654565,471,441,70,2415
RF,rs=8|n_est=50|depth=10,2.596411,0.8681189284662938,0.8651846539978487,0.97102615694165,0.9150549867273416,0.5587454551872639,536,376,72,2413
RF,rs=8|n_est=50|depth=20,3.680085,0.8634088901972329,0.8806026365348399,0.9408450704225352,0.909727626459144,0.5932573511242896,595,317,147,2338
RF,rs=8|n_est=50|depth=None,4.547983,0.8669414188990285,0.8828625235404897,0.9432595573440644,0.9120622568093385,0.6022507854142398,601,311,141,2344
RF,rs=8|n_est=100|depth=5,3.386782,0.8504562849573153,0.8464773922187171,0.971830985915493,0.904833270887973,0.49156782802075616,474,438,70,2415
